id,attaches
49,"[{""name"": ""서울에서 대전.jpg"", ""path"": ""approval_2025_attachments/apr15266468/서울에서 대전.jpg""}, {""name"": ""대전에서 서울.jpg"", ""path"": ""approval_2025_attachments/apr15266468/대전에서 서울.jpg""}, {""name"": ""택시비.jpg"", ""path"": ""approval_2025_attachments/apr15266468/택시비.jpg""}]"
54,"[{""name"": ""20210121_견적서_애니파이브_중소기업기술정보진흥원 유지관리 운영 지원 용역.pdf"", ""path"": ""approval_2025_attachments/apr15284696/20210121_견적서_애니파이브_중소기업기술정보진흥원 유지관리 운영 지원 용역.pdf""}]"
55,"[{""name"": ""2021년_외주용역비 지급내역 상세(20210122).xlsx"", ""path"": ""approval_2025_attachments/apr15281420/2021년_외주용역비 지급내역 상세(20210122).xlsx""}, {""name"": ""2021년_소싱 실적관리_20210122.xlsx"", ""path"": ""approval_2025_attachments/apr15281420/2021년_소싱 실적관리_20210122.xlsx""}]"
56,"[{""name"": ""20210122_113406.jpg"", ""path"": ""approval_2025_attachments/apr15282191/20210122_113406.jpg""}, {""name"": ""20210122_113421.jpg"", ""path"": ""approval_2025_attachments/apr15282191/20210122_113421.jpg""}]"
58,"[{""name"": ""포시에스 구매계약품의서.pdf"", ""path"": ""approval_2025_attachments/apr15293791/포시에스 구매계약품의서.pdf""}, {""name"": ""한국전자인증 구매계약품의서.pdf"", ""path"": ""approval_2025_attachments/apr15293791/한국전자인증 구매계약품의서.pdf""}, {""name"": ""포시에스 전자세금계산서.pdf"", ""path"": ""approval_2025_attachments/apr15293791/포시에스 전자세금계산서.pdf""}, {""name"": ""한국전자인증 전자세금계산서.pdf"", ""path"": ""approval_2025_attachments/apr15293791/한국전자인증 전자세금계산서.pdf""}, {""name"": ""포시에스 통장사본.pdf"", ""path"": ""approval_2025_attachments/apr15293791/포시에스 통장사본.pdf""}, {""name"": ""한국전자인증 통장사본.pdf"", ""path"": ""approval_2025_attachments/apr15293791/한국전자인증 통장사본.pdf""}]"
59,"[{""name"": ""계약서-선거관리위원회 온라인투표시스템운영-(인재INC-애니파이브-20201229).docx"", ""path"": ""approval_2025_attachments/apr15294678/계약서-선거관리위원회 온라인투표시스템운영-(인재INC-애니파이브-20201229).docx""}, {""name"": ""20201229_(주)지모소프트_선거관리위원회_온라인투표시스템운영_용역계약서_고은숙.doc"", ""path"": ""approval_2025_attachments/apr15294678/20201229_(주)지모소프트_선거관리위원회_온라인투표시스템운영_용역계약서_고은숙.doc""}]"
60,"[{""name"": ""20210118 _(주)아이엑세스_대중소기업상생협력기금 종합관리시스템 구축_박건규.doc"", ""path"": ""approval_2025_attachments/apr15296205/20210118 _(주)아이엑세스_대중소기업상생협력기금 종합관리시스템 구축_박건규.doc""}, {""name"": ""20210118 _(주)우리씨앤씨_대중소기업상생협력기금 종합관리시스템 구축_권민수.doc"", ""path"": ""approval_2025_attachments/apr15296205/20210118 _(주)우리씨앤씨_대중소기업상생협력기금 종합관리시스템 구축_권민수.doc""}, {""name"": ""20210118 _(주)우리씨앤씨_대중소기업상생협력기금 종합관리시스템 구축_최동권.doc"", ""path"": ""approval_2025_attachments/apr15296205/20210118 _(주)우리씨앤씨_대중소기업상생협력기금 종합관리시스템 구축_최동권.doc""}, {""name"": ""20210118 _(주)이음아이앤씨_대중소기업상생협력기금 종합관리시스템 구축_김선관.doc"", ""path"": ""approval_2025_attachments/apr15296205/20210118 _(주)이음아이앤씨_대중소기업상생협력기금 종합관리시스템 구축_김선관.doc""}]"
67,"[{""name"": ""2021년_외주용역비 지급내역 상세(20210127).xlsx"", ""path"": ""approval_2025_attachments/apr15312340/2021년_외주용역비 지급내역 상세(20210127).xlsx""}, {""name"": ""2021년_소싱 실적관리_20210127.xlsx"", ""path"": ""approval_2025_attachments/apr15312340/2021년_소싱 실적관리_20210127.xlsx""}]"
72,"[{""name"": ""1월 기타 경비.pdf"", ""path"": ""approval_2025_attachments/apr15313270/1월 기타 경비.pdf""}]"
75,"[{""name"": ""조희진 프로파일.doc"", ""path"": ""approval_2025_attachments/apr15319072/조희진 프로파일.doc""}]"
82,"[{""name"": ""IMG_0334.PNG"", ""path"": ""approval_2025_attachments/apr15320884/IMG_0334.PNG""}, {""name"": ""IMG_0335.PNG"", ""path"": ""approval_2025_attachments/apr15320884/IMG_0335.PNG""}, {""name"": ""IMG_0396.JPG"", ""path"": ""approval_2025_attachments/apr15320884/IMG_0396.JPG""}, {""name"": ""IMG_0397.JPG"", ""path"": ""approval_2025_attachments/apr15320884/IMG_0397.JPG""}, {""name"": ""IMG_0426.JPG"", ""path"": ""approval_2025_attachments/apr15320884/IMG_0426.JPG""}, {""name"": ""IMG_0427.JPG"", ""path"": ""approval_2025_attachments/apr15320884/IMG_0427.JPG""}, {""name"": ""IMG_0456.PNG"", ""path"": ""approval_2025_attachments/apr15320884/IMG_0456.PNG""}, {""name"": ""IMG_0461.JPG"", ""path"": ""approval_2025_attachments/apr15320884/IMG_0461.JPG""}]"
84,"[{""name"": ""1월 영수증.pdf"", ""path"": ""approval_2025_attachments/apr15330489/1월 영수증.pdf""}]"
85,"[{""name"": ""PRJ_CODE_(기정원)20년~22년 기정원 정보시스템 통합유지보수(20210101~20220331)_최종.xlsx"", ""path"": ""approval_2025_attachments/apr15340761/PRJ_CODE_(기정원)20년~22년 기정원 정보시스템 통합유지보수(20210101~20220331)_최종.xlsx""}]"
92,"[{""name"": ""PRJ_CODE_(기정원)20년~22년 기정원 정보시스템 통합유지보수(20210101~20220331)_최종.xlsx"", ""path"": ""approval_2025_attachments/apr15347013/PRJ_CODE_(기정원)20년~22년 기정원 정보시스템 통합유지보수(20210101~20220331)_최종.xlsx""}]"
94,"[{""name"": ""P210003GI_(관세청)국가간 원산지정보 자료교환 시스템구축(베트남)(20201214~20210513).xlsx"", ""path"": ""approval_2025_attachments/apr15348296/P210003GI_(관세청)국가간 원산지정보 자료교환 시스템구축(베트남)(20201214~20210513).xlsx""}]"
96,"[{""name"": ""(공문)2021년도_찬조회원사_연회비청구서(신규).pdf"", ""path"": ""approval_2025_attachments/apr15351837/(공문)2021년도_찬조회원사_연회비청구서(신규).pdf""}, {""name"": ""KINPA 사업자등록증(2020).pdf"", ""path"": ""approval_2025_attachments/apr15351837/KINPA 사업자등록증(2020).pdf""}, {""name"": ""한국지식재산협회(KINPA)_연회비_통장사본.jpg"", ""path"": ""approval_2025_attachments/apr15351837/한국지식재산협회(KINPA)_연회비_통장사본.jpg""}]"
101,"[{""name"": ""2021-01 출장명세서.xlsx"", ""path"": ""approval_2025_attachments/apr15370601/2021-01 출장명세서.xlsx""}, {""name"": ""기간별_사용내역.xls.xlsx"", ""path"": ""approval_2025_attachments/apr15370601/기간별_사용내역.xls.xlsx""}, {""name"": ""영수증 _ 하이패스 홈페이지.pdf"", ""path"": ""approval_2025_attachments/apr15370601/영수증 _ 하이패스 홈페이지.pdf""}]"
103,"[{""name"": ""전기요금_2021년1월.png"", ""path"": ""approval_2025_attachments/apr15370340/전기요금_2021년1월.png""}, {""name"": ""가스비_2021년1월.png"", ""path"": ""approval_2025_attachments/apr15370340/가스비_2021년1월.png""}]"
104,"[{""name"": ""01-28 톨게이트영수증.pdf"", ""path"": ""approval_2025_attachments/apr15377405/01-28 톨게이트영수증.pdf""}]"
105,"[{""name"": ""데이타쎌테크_통장사본.pdf"", ""path"": ""approval_2025_attachments/apr15382181/데이타쎌테크_통장사본.pdf""}, {""name"": ""전자세금계산서_데이타쎌테크(중도금27%).pdf"", ""path"": ""approval_2025_attachments/apr15382181/전자세금계산서_데이타쎌테크(중도금27%).pdf""}]"
107,"[{""name"": ""택시영수증.jpg"", ""path"": ""approval_2025_attachments/apr15385270/택시영수증.jpg""}]"
111,"[{""name"": ""KTX 영수증_20210128.pdf"", ""path"": ""approval_2025_attachments/apr15391835/KTX 영수증_20210128.pdf""}]"
119,"[{""name"": ""20210216 기타증빙첨부 (최규).pdf"", ""path"": ""approval_2025_attachments/apr15416101/20210216 기타증빙첨부 (최규).pdf""}]"
134,"[{""name"": ""서울에서 대전.jpg"", ""path"": ""approval_2025_attachments/apr15443629/서울에서 대전.jpg""}, {""name"": ""대전에서 서울.jpg"", ""path"": ""approval_2025_attachments/apr15443629/대전에서 서울.jpg""}, {""name"": ""택시비.jpg"", ""path"": ""approval_2025_attachments/apr15443629/택시비.jpg""}]"
137,"[{""name"": ""하이패스 사용내역.pdf"", ""path"": ""approval_2025_attachments/apr15443589/하이패스 사용내역.pdf""}, {""name"": ""대전지사 주차비.jpg"", ""path"": ""approval_2025_attachments/apr15443589/대전지사 주차비.jpg""}]"
143,"[{""name"": ""강원준 출장 품의서 결재 올립니다..pdf"", ""path"": ""approval_2025_attachments/apr15466074/강원준 출장 품의서 결재 올립니다..pdf""}, {""name"": ""영수증1.jpg"", ""path"": ""approval_2025_attachments/apr15466074/영수증1.jpg""}, {""name"": ""영수증2.jpg"", ""path"": ""approval_2025_attachments/apr15466074/영수증2.jpg""}]"
148,"[{""name"": ""20210225 기타증빙첨부 (최규).pdf"", ""path"": ""approval_2025_attachments/apr15468791/20210225 기타증빙첨부 (최규).pdf""}]"
150,"[{""name"": ""2월 교통비.pdf"", ""path"": ""approval_2025_attachments/apr15475801/2월 교통비.pdf""}]"
151,"[{""name"": ""2월 기타 경비.pdf"", ""path"": ""approval_2025_attachments/apr15475811/2월 기타 경비.pdf""}]"
155,"[{""name"": ""IMG_0809.PNG"", ""path"": ""approval_2025_attachments/apr15485084/IMG_0809.PNG""}, {""name"": ""IMG_0808.PNG"", ""path"": ""approval_2025_attachments/apr15485084/IMG_0808.PNG""}]"
156,"[{""name"": ""2월 영수증.pdf"", ""path"": ""approval_2025_attachments/apr15484992/2월 영수증.pdf""}]"
157,"[{""name"": ""보안교육기차영수증.pdf"", ""path"": ""approval_2025_attachments/apr15484981/보안교육기차영수증.pdf""}]"
158,"[{""name"": ""카드_증빙첨부_김상진(2021년2월)_김상진.xls"", ""path"": ""approval_2025_attachments/apr15485278/카드_증빙첨부_김상진(2021년2월)_김상진.xls""}, {""name"": ""경비_2021년 2월 CARD 사용내역보고_김상진.xls"", ""path"": ""approval_2025_attachments/apr15485278/경비_2021년 2월 CARD 사용내역보고_김상진.xls""}]"
161,"[{""name"": ""2021-02 출장명세서.xlsx"", ""path"": ""approval_2025_attachments/apr15511406/2021-02 출장명세서.xlsx""}, {""name"": ""기간별_사용내역.xlsx"", ""path"": ""approval_2025_attachments/apr15511406/기간별_사용내역.xlsx""}, {""name"": ""영수증 _ 하이패스 홈페이지.pdf"", ""path"": ""approval_2025_attachments/apr15511406/영수증 _ 하이패스 홈페이지.pdf""}]"
168,"[{""name"": ""가스비_21년2월분.png"", ""path"": ""approval_2025_attachments/apr15536532/가스비_21년2월분.png""}, {""name"": ""전기요금_21년2월분.jpg"", ""path"": ""approval_2025_attachments/apr15536532/전기요금_21년2월분.jpg""}]"
172,"[{""name"": ""20210310 기타증빙첨부 (최규).pdf"", ""path"": ""approval_2025_attachments/apr15544773/20210310 기타증빙첨부 (최규).pdf""}]"
173,"[{""name"": ""애니파이브_대중소연계_견적서_20210308.pdf"", ""path"": ""approval_2025_attachments/apr15548135/애니파이브_대중소연계_견적서_20210308.pdf""}]"
177,"[{""name"": ""애니파이브_대중소기업_ERP 추가개발_발주서(20210311).pdf"", ""path"": ""approval_2025_attachments/apr15555001/애니파이브_대중소기업_ERP 추가개발_발주서(20210311).pdf""}, {""name"": ""애니파이브_대중소연계_견적서_20210308.pdf"", ""path"": ""approval_2025_attachments/apr15555001/애니파이브_대중소연계_견적서_20210308.pdf""}]"
180,"[{""name"": ""대전에서 서울.jpg"", ""path"": ""approval_2025_attachments/apr15568372/대전에서 서울.jpg""}, {""name"": ""서울에서 대전.jpg"", ""path"": ""approval_2025_attachments/apr15568372/서울에서 대전.jpg""}, {""name"": ""택시비.jpg"", ""path"": ""approval_2025_attachments/apr15568372/택시비.jpg""}]"
191,"[{""name"": ""ITO 지급품의 21_0315_(수정0315).xlsx"", ""path"": ""approval_2025_attachments/apr15598972/ITO 지급품의 21_0315_(수정0315).xlsx""}]"
192,"[{""name"": ""ITO 지급품의 21_0325_(0319).xlsx"", ""path"": ""approval_2025_attachments/apr15612862/ITO 지급품의 21_0325_(0319).xlsx""}]"
194,"[{""name"": ""숙박_주차_식비.jpg"", ""path"": ""approval_2025_attachments/apr15612520/숙박_주차_식비.jpg""}, {""name"": ""하이패스 사용내역.pdf"", ""path"": ""approval_2025_attachments/apr15612520/하이패스 사용내역.pdf""}]"
196,"[{""name"": ""1.혁신서비스기업안내문 (1).pdf"", ""path"": ""approval_2025_attachments/apr15621344/1.혁신서비스기업안내문 (1).pdf""}, {""name"": ""[2021-03-17 15-48]_[혁신서비스지원사업]_[혁신서비스 지원사업 선정평가 결과 안내].eml"", ""path"": ""approval_2025_attachments/apr15621344/[2021-03-17 15-48]_[혁신서비스지원사업]_[혁신서비스 지원사업 선정평가 결과 안내].eml""}]"
198,"[{""name"": ""20210323 기타증빙첨부 (최규).pdf"", ""path"": ""approval_2025_attachments/apr15622382/20210323 기타증빙첨부 (최규).pdf""}]"
199,"[{""name"": ""견적서_대중소기업농어업협력재단_TG500B_애니파이브_20210323.pdf"", ""path"": ""approval_2025_attachments/apr15620990/견적서_대중소기업농어업협력재단_TG500B_애니파이브_20210323.pdf""}]"
209,"[{""name"": ""2021_애니파이브_지식재산 유지보수 계약서.pdf"", ""path"": ""approval_2025_attachments/apr15646030/2021_애니파이브_지식재산 유지보수 계약서.pdf""}]"
210,"[{""name"": ""SK바이오사이언스_애니파이브-e-patent 유지보수 계약.pdf"", ""path"": ""approval_2025_attachments/apr15646240/SK바이오사이언스_애니파이브-e-patent 유지보수 계약.pdf""}]"
211,"[{""name"": ""SK케미칼_애니파이브_e-patent 유지보수 계약.pdf"", ""path"": ""approval_2025_attachments/apr15646187/SK케미칼_애니파이브_e-patent 유지보수 계약.pdf""}]"
214,"[{""name"": ""택시영수증.jpg"", ""path"": ""approval_2025_attachments/apr15645550/택시영수증.jpg""}]"
216,"[{""name"": ""ITO 지급품의 21_0331_(0329).xlsx"", ""path"": ""approval_2025_attachments/apr15654748/ITO 지급품의 21_0331_(0329).xlsx""}]"
223,"[{""name"": ""3월 기타경비.pdf"", ""path"": ""approval_2025_attachments/apr15678061/3월 기타경비.pdf""}]"
224,"[{""name"": ""지원서_이하연사원.pdf"", ""path"": ""approval_2025_attachments/apr15688842/지원서_이하연사원.pdf""}]"
225,"[{""name"": ""이력서_전진원사원.pdf"", ""path"": ""approval_2025_attachments/apr15688759/이력서_전진원사원.pdf""}]"
226,"[{""name"": ""이력서_차경석사원.pdf"", ""path"": ""approval_2025_attachments/apr15688711/이력서_차경석사원.pdf""}]"
228,"[{""name"": ""기간별_사용내역.xlsx"", ""path"": ""approval_2025_attachments/apr15700398/기간별_사용내역.xlsx""}, {""name"": ""2021-03 출장명세서.xlsx"", ""path"": ""approval_2025_attachments/apr15700398/2021-03 출장명세서.xlsx""}, {""name"": ""영수증 _ 하이패스 홈페이지.pdf"", ""path"": ""approval_2025_attachments/apr15700398/영수증 _ 하이패스 홈페이지.pdf""}]"
229,"[{""name"": ""카드_증빙첨부_김상진(2021년3월)_김상진.xls"", ""path"": ""approval_2025_attachments/apr15703997/카드_증빙첨부_김상진(2021년3월)_김상진.xls""}, {""name"": ""경비_2021년 3월 CARD 사용내역보고_김상진.xls"", ""path"": ""approval_2025_attachments/apr15703997/경비_2021년 3월 CARD 사용내역보고_김상진.xls""}]"
230,"[{""name"": ""프로젝트룸 계약서.pdf"", ""path"": ""approval_2025_attachments/apr15698390/프로젝트룸 계약서.pdf""}]"
235,"[{""name"": ""사업자등록증_C&I info.jpg"", ""path"": ""approval_2025_attachments/apr15717209/사업자등록증_C&I info.jpg""}]"
241,"[{""name"": ""ITO 지급품의 21_0415.xlsx"", ""path"": ""approval_2025_attachments/apr15744992/ITO 지급품의 21_0415.xlsx""}]"
252,"[{""name"": ""P210011CI_(삼성SDI)+지재권관리시스템 구축(20210322_20210821)_20210405(V4.0).xlsx"", ""path"": ""approval_2025_attachments/apr15750635/P210011CI_(삼성SDI)+지재권관리시스템 구축(20210322_20210821)_20210405(V4.0).xlsx""}]"
253,"[{""name"": ""전기요금_2021년3월분.png"", ""path"": ""approval_2025_attachments/apr15749860/전기요금_2021년3월분.png""}, {""name"": ""가스비_2021년3월분.png"", ""path"": ""approval_2025_attachments/apr15749860/가스비_2021년3월분.png""}]"
256,"[{""name"": ""P210012CI_(한국콜마)+지재권관리시스템 구축(20210322_20210821)_20210405(V4.0).xlsx"", ""path"": ""approval_2025_attachments/apr15750266/P210012CI_(한국콜마)+지재권관리시스템 구축(20210322_20210821)_20210405(V4.0).xlsx""}]"
264,"[{""name"": ""주차 영수증.pdf"", ""path"": ""approval_2025_attachments/apr15781758/주차 영수증.pdf""}]"
269,"[{""name"": ""코스맥스 주차비.jpg"", ""path"": ""approval_2025_attachments/apr15796734/코스맥스 주차비.jpg""}]"
270,"[{""name"": ""OpenAPI 서비스 제공 견적_애니파이브_20210420xlsx.pdf"", ""path"": ""approval_2025_attachments/apr15807093/OpenAPI 서비스 제공 견적_애니파이브_20210420xlsx.pdf""}]"
275,"[{""name"": ""20210426 기타증빙첨부 (최규).pdf"", ""path"": ""approval_2025_attachments/apr15823653/20210426 기타증빙첨부 (최규).pdf""}]"
279,"[{""name"": ""서울에서 대전.jpg"", ""path"": ""approval_2025_attachments/apr15826777/서울에서 대전.jpg""}, {""name"": ""택시비.jpg"", ""path"": ""approval_2025_attachments/apr15826777/택시비.jpg""}, {""name"": ""대전에서 서울.jpg"", ""path"": ""approval_2025_attachments/apr15826777/대전에서 서울.jpg""}]"
282,"[{""name"": ""ITO 지급품의 21_0430(0427수정).xlsx"", ""path"": ""approval_2025_attachments/apr15834348/ITO 지급품의 21_0430(0427수정).xlsx""}]"
287,"[{""name"": ""20210427_183009.jpg"", ""path"": ""approval_2025_attachments/apr15849526/20210427_183009.jpg""}, {""name"": ""20210420_180800.jpg"", ""path"": ""approval_2025_attachments/apr15849526/20210420_180800.jpg""}]"
290,"[{""name"": ""주차비영수증20210429.pdf"", ""path"": ""approval_2025_attachments/apr15851725/주차비영수증20210429.pdf""}]"
297,"[{""name"": ""4월하이패스이용내역.png"", ""path"": ""approval_2025_attachments/apr15871474/4월하이패스이용내역.png""}]"
298,"[{""name"": ""4월 기타경비.pdf"", ""path"": ""approval_2025_attachments/apr15875688/4월 기타경비.pdf""}]"
299,"[{""name"": ""전기요금_2021년4월분.png"", ""path"": ""approval_2025_attachments/apr15870773/전기요금_2021년4월분.png""}, {""name"": ""가스비_2021년4월분.png"", ""path"": ""approval_2025_attachments/apr15870773/가스비_2021년4월분.png""}]"
306,"[{""name"": ""카드_증빙첨부_김상진(2021년4월)_김상진.xls"", ""path"": ""approval_2025_attachments/apr15879959/카드_증빙첨부_김상진(2021년4월)_김상진.xls""}, {""name"": ""경비_2021년 4월 CARD 사용내역보고_김상진.xls"", ""path"": ""approval_2025_attachments/apr15879959/경비_2021년 4월 CARD 사용내역보고_김상진.xls""}]"
311,"[{""name"": ""202104 출장명세서.xlsx"", ""path"": ""approval_2025_attachments/apr15902607/202104 출장명세서.xlsx""}, {""name"": ""202104_기간별_사용내역.xlsx"", ""path"": ""approval_2025_attachments/apr15902607/202104_기간별_사용내역.xlsx""}, {""name"": ""202104_영수증 _ 하이패스 홈페이지.pdf"", ""path"": ""approval_2025_attachments/apr15902607/202104_영수증 _ 하이패스 홈페이지.pdf""}]"
